order_id,order_date,customer_id,customer_name,segment,category,product,region,sales_channel,quantity,unit_price,discount,sales,cost,profit
ORD-10001,2024-10-08,CUST-0126,Customer 0126,Home Office,Electronics,Laptop,North,Marketplace,4,803.21,0.0,3212.84,2528.01,684.83
ORD-10002,2024-01-31,CUST-0048,Customer 0048,Consumer,Fashion,T-Shirt,West,Online,4,25.04,0.0,100.16,56.02,44.14
ORD-10003,2024-01-07,CUST-0082,Customer 0082,Corporate,Fashion,Jacket,North,Online,7,84.0,0.05,558.6,349.33,209.27
ORD-10004,2025-01-02,CUST-0177,Customer 0177,Corporate,Fashion,T-Shirt,North,Marketplace,5,26.72,0.0,133.6,98.55,35.05
ORD-10005,2025-08-14,CUST-0099,Customer 0099,Consumer,Office Supplies,Pen Set,South,Online,2,18.87,0.0,37.74,30.97,6.77
ORD-10006,2025-04-09,CUST-0326,Customer 0326,Corporate,Fashion,Jacket,North,Marketplace,6,86.49,0.0,518.94,323.47,195.47
ORD-10007,2024-06-16,CUST-0237,Customer 0237,Home Office,Furniture,Desk,South,Marketplace,7,252.31,0.05,1677.86,1298.66,379.2
ORD-10008,2024-08-22,CUST-0017,Customer 0017,Home Office,Office Supplies,Notebook,East,Online,6,11.16,0.1,60.26,37.59,22.67
ORD-10009,2025-10-20,CUST-0235,Customer 0235,Home Office,Fashion,Sneakers,East,Marketplace,3,98.11,0.05,279.61,226.69,52.92
ORD-10010,2025-08-20,CUST-0205,Customer 0205,Corporate,Home & Kitchen,Vacuum Cleaner,North,Online,6,241.33,0.0,1447.98,866.49,581.49
ORD-10011,2025-10-04,CUST-0082,,Corporate,Electronics,Smartphone,East,Marketplace,7,434.53,0.15,2585.45,1767.33,818.12
ORD-10012,2025-11-29,CUST-0275,Customer 0275,Consumer,Electronics,Laptop,West,Online,5,714.04,0.2,2856.16,1864.29,991.87
ORD-10013,2025-06-03,CUST-0055,Customer 0055,Corporate,Office Supplies,Printer,South,Marketplace,5,280.64,0.2,1122.56,695.56,427.0
ORD-10014,2025-09-05,CUST-0166,Customer 0166,Corporate,Home & Kitchen,Blender,South,Online,8,66.27,0.0,530.16,358.94,171.22
ORD-10015,2024-03-28,CUST-0249,Customer 0249,Corporate,Furniture,Office Chair,South,Retail Store,2,161.96,0.15,275.33,163.8,111.53
ORD-10016,2024-08-04,CUST-0277,Customer 0277,Home Office,Home & Kitchen,Vacuum Cleaner,East,Retail Store,4,198.14,0.2,634.05,569.57,64.48
ORD-10017,2024-05-03,CUST-0127,Customer 0127,Consumer,Home & Kitchen,Vacuum Cleaner,South,Online,4,199.8,0.0,799.2,604.12,195.08
ORD-10018,2024-08-22,CUST-0035,Customer 0035,Home Office,Electronics,Laptop,West,Online,1,653.44,0.05,620.77,393.13,227.64
ORD-10019,2025-08-07,CUST-0296,Customer 0296,Consumer,Home & Kitchen,Cookware Set,North,Online,8,151.95,0.0,1215.6,1012.14,203.46
ORD-10020,2025-03-09,CUST-0211,Customer 0211,Home Office,Fashion,Jacket,North,Online,8,77.96,0.2,498.94,388.53,110.41
ORD-10021,2024-04-21,CUST-0128,Customer 0128,Consumer,Fashion,Jacket,East,Retail Store,4,90.98,0.0,363.92,218.01,145.91
ORD-10022,2025-03-29,CUST-0282,Customer 0282,Consumer,Furniture,Office Chair,North,Online,2,156.85,0.0,313.7,231.89,81.81
ORD-10023,2025-05-12,CUST-0247,Customer 0247,Consumer,Furniture,Sofa,West,Retail Store,4,728.48,0.1,2622.53,1593.51,1029.02
ORD-10024,2025-03-09,CUST-0285,Customer 0285,Consumer,Fashion,Jacket,North,Marketplace,8,81.63,0.0,653.04,408.93,244.11
ORD-10025,2024-02-21,CUST-0300,Customer 0300,Consumer,Office Supplies,Notebook,North,Online,8,13.51,0.15,91.87,67.61,24.26
ORD-10026,2025-11-22,CUST-0121,Customer 0121,Home Office,Electronics,Laptop,,Marketplace,7,849.36,0.0,5945.52,4455.49,1490.03
ORD-10027,2025-11-04,CUST-0299,Customer 0299,Consumer,Electronics,Smartwatch,East,Retail Store,6,164.03,0.05,934.97,748.6,186.37
ORD-10028,2025-04-13,CUST-0162,Customer 0162,Consumer,Furniture,Bookshelf,North,Marketplace,2,118.5,0.0,237.0,213.17,23.83
ORD-10029,2024-05-15,CUST-0179,Customer 0179,Home Office,Furniture,Bookshelf,East,Marketplace,2,115.3,0.0,230.6,139.56,91.04
ORD-10030,2025-11-14,CUST-0284,Customer 0284,Corporate,Home & Kitchen,Blender,North,Online,5,66.08,0.2,264.32,226.61,37.71
ORD-10031,2024-10-05,CUST-0145,Customer 0145,Corporate,Home & Kitchen,Cookware Set,West,Retail Store,4,133.4,0.2,426.88,337.5,89.38
ORD-10032,2025-10-11,CUST-0217,Customer 0217,Home Office,Electronics,Laptop,East,Online,5,638.3,0.0,3191.5,2616.68,574.82
ORD-10033,2025-07-28,CUST-0005,Customer 0005,Consumer,Fashion,Sneakers,North,Retail Store,2,124.69,0.0,249.38,197.47,51.91
ORD-10034,2025-03-16,CUST-0066,Customer 0066,Consumer,Home & Kitchen,Cookware Set,East,Online,1,134.32,0.05,127.6,111.85,15.75
ORD-10035,2024-12-28,CUST-0287,Customer 0287,Consumer,Furniture,Office Chair,South,Online,7,161.23,0.15,959.32,838.46,120.86
ORD-10036,2024-07-02,CUST-0171,Customer 0171,Corporate,Fashion,T-Shirt,South,Marketplace,7,27.73,0.2,155.29,129.47,25.82
ORD-10037,2024-02-09,CUST-0241,Customer 0241,Corporate,Electronics,Smartwatch,South,Online,4,197.1,0.0,788.4,560.64,227.76
